Sample,DistributedLatency_ms,IntegratedLatency_ms,DistributedDeadlineMiss,IntegratedDeadlineMiss
395,22.0227360375279,23.4129688302609,0,0
396,18.8881807676632,30.2089030268012,0,1
397,22.3234414415269,20.5821951000414,0,0
398,20.3589064394755,23.5566825119334,0,0
399,25.3929811197526,22.9317616388965,1,0
400,19.3367350440168,25.7682616845972,0,1
401,20.8130202502733,21.550912770066,0,0
402,22.6018673656207,19.940719732589,0,0
403,16.7804655651418,21.4777791824436,0,0
404,18.4717697088798,24.2749338923415,0,0
405,22.7796039319148,25.9690215039985,0,1
406,23.8902756685893,21.3990476256688,0,0
407,21.8792717848692,21.003288078351,0,0
408,24.3265874864772,23.1381073330727,0,0
409,22.4983907689414,17.889166531786,0,0
410,25.5506130578824,21.7699104844843,1,0
411,23.0885169102387,21.6256440468103,0,0
412,19.6474656655272,21.8732092154899,0,0
413,21.5509487571964,20.5870984220847,0,0
414,21.2969606227812,22.6524664572925,0,0
415,21.3887752495496,22.7451573596475,0,0
416,25.236490796124,27.6577238072179,1,1
417,27.392257408074,16.3395163937394,1,0
418,18.8025572673611,23.4832057574035,0,0
419,25.4398371954498,19.8000341338737,1,0
420,24.5621528111849,17.2218806417378,0,0
421,24.640242222787,26.5898032819518,0,1
422,19.4169452843881,24.9331659760413,0,0
423,20.9661309548052,18.2180411357898,0,0
424,19.348306423029,18.4907005536137,0,0
425,27.2373305790494,22.5031077011301,1,0
426,22.8518532453342,24.1193882944345,0,0
427,24.5397208104653,25.5357276485665,0,1
428,23.3296730425046,20.9045883224373,0,0
429,19.6947659652766,24.7471522334779,0,0
430,27.143143429772,20.5594343796851,1,0
431,15.0150152373569,19.4175675072001,0,0
432,19.5451717676421,18.8461401343776,0,0
433,22.442616624103,17.5274930288043,0,0
434,25.3154274266221,25.4112864534152,1,1
435,19.6234326207557,15.8408842068551,0,0
436,21.8792710923756,22.3488900140808,0,0
437,22.8221758277476,18.0096928061799,0,0
438,19.4659319051716,24.2198970552212,0,0
439,22.3271460910177,15.2056517225602,0,0
440,26.7901170261724,25.7863785406495,1,1
441,22.3552404793366,19.5016734030008,0,0
442,24.6588644206163,28.6791417739197,0,1
443,23.8511307640113,23.7006938392997,0,0
444,23.0337629149099,23.1027968442618,0,0
445,23.2531401737559,19.3908932849134,0,0
446,26.1321621649045,23.2058679850102,1,0
447,23.224676971628,21.4474079827064,0,0
448,24.8063618638468,19.3446572588636,0,0
449,22.4954462969389,23.691492301964,0,0
450,21.4284002915345,22.4821262661859,0,0
451,23.8380262908903,25.5202550877681,0,1
452,18.9626021099539,21.4681175991135,0,0
453,21.3052252219697,21.8404695061078,0,0
454,22.4194384078282,23.5008183335592,0,0
455,22.7487094691827,17.2070342682781,0,0
456,21.2018341501061,24.9115829871614,0,0
457,20.5470727422675,24.2483940306507,0,0
458,24.0677080912506,26.1718563405378,0,1
459,21.7754710050489,29.8564072424949,0,1
460,20.5804711969887,20.6636640235779,0,0
461,20.7414565510197,17.9072636635639,0,0
462,23.8818994189516,16.5922811932547,0,0
463,22.8078255602322,18.5014909532981,0,0
464,18.4716563008141,16.2097529870661,0,0
465,22.8083928626212,17.8121079637642,0,0
466,22.6819400605877,20.4367985466943,0,0
467,24.2814914504931,21.7312218407332,0,0
468,20.9453355465357,21.108483385037,0,0
469,19.7045325067097,22.9013623574238,0,0
470,20.3663223962184,22.6189799776497,0,0
471,23.4086178698177,25.1808460588665,0,1
472,19.9954647128789,21.601132990791,0,0
473,21.0248660493219,24.9053332296127,0,0
474,25.0120990538814,17.9845946306917,1,0
475,25.1733542338764,25.8560599545443,1,1
476,25.8714356156617,22.8538476095749,1,0
477,24.1721837971397,33.3450667593611,0,1
478,23.9780247299888,24.3799082521162,0,0
479,23.0648007935082,28.942764891161,0,1
480,26.757169083936,19.3826435706502,1,0
481,22.5514800697108,22.8242595231634,0,0
482,21.3748499434214,20.4856904955127,0,0
483,20.3787922917323,22.4753635086228,0,0
484,26.1074669805827,19.2133552146073,1,0
485,28.5496097982657,18.326290729505,1,0
486,24.0756102241686,16.1868775486884,0,0
487,23.900256007053,19.8986969628446,0,0
488,18.774244692458,16.6851710918918,0,0
489,21.3570011724178,17.8871590855713,0,0
490,23.0948401586027,15.3081291949344,0,0
491,20.5712418185166,20.9924810271221,0,0
492,21.6229403244711,22.3211280051968,0,0
493,21.2425504706704,27.1931520802303,0,1
494,23.5039483575464,23.0747811913891,0,0
495,20.4607681211575,21.0474977651332,0,0
496,24.2227978565755,20.9223554992031,0,0
497,25.5570383633446,23.5478118546741,1,0
498,20.8222042185585,21.4960959102461,0,0
499,21.8520188114395,28.6685127837385,0,1
500,21.5241658670187,19.9985226256763,0,0
501,17.6505353529844,24.3292309978353,0,0
502,22.6363930384484,19.5749714595438,0,0
503,18.3036328184391,25.501495856335,0,1
504,19.0151271451892,20.9965252688027,0,0
505,18.8891623712526,22.8091385628139,0,0
506,20.0764040184166,18.950730155749,0,0
